kind,accuracy,precision,recall,f1,auc,tp,fp,fn,tn,n,accuracy_std,precision_std,recall_std,f1_std,auc_std
none,0.8832622601279317,0.6212624584717608,0.6404109589041096,0.6306913996627319,0.8619413311194134,187,114,105,1470,1876,,,,,
top_half,0.8720682302771855,0.6083333333333333,0.5,0.5488721804511278,0.8569513629445136,146,94,146,1490,1876,,,,,
bottom_half,0.8704690831556503,0.6256410256410256,0.4178082191780822,0.5010266940451745,0.8269683132696831,122,73,170,1511,1876,,,,,
left_half,0.8635394456289979,0.5703125,0.5,0.5328467153284672,0.818108309118583,146,110,146,1474,1876,,,,,
right_half,0.8624733475479744,0.5578231292517006,0.5616438356164384,0.5597269624573379,0.8340122111526221,164,130,128,1454,1876,,,,,
pedestrian_only,0.6892324093816631,0.06042296072507553,0.0684931506849315,0.06420545746388442,0.4209172201466722,20,311,272,1273,1876,,,,,
context_only,0.8075692963752665,0.4075067024128686,0.5205479452054794,0.45714285714285713,0.7873231458419816,152,221,140,1363,1876,,,,,
random_10pct,0.8743070362473346,0.6025963737418721,0.5657534246575343,0.5835437055339128,0.8511856579493566,165,109,126,1475,1876,0.0020617355656517944,0.008394028983755275,0.006984958237798333,0.005404036460650723,0.0010427801145085722
random_25pct,0.8730277185501066,0.6045322400182135,0.5328767123287671,0.5664358939591315,0.8380184550989347,155,101,136,1482,1876,0.0020339855040873126,0.007667514125966453,0.006710930802145682,0.006701028832779077,0.001942853317693698
random_50pct,0.8585287846481876,0.5483570101130997,0.5164383561643835,0.5318534468442591,0.8211373149301233,150,124,141,1459,1876,0.0013735712928278343,0.004535773298722551,0.012517580056504843,0.007738751477290174,0.002305255033183482
random_75pct,0.83272921108742,0.4664384491735392,0.5191780821917809,0.4913799552795849,0.8033900650339006,151,173,140,1410,1876,0.0015595670403334631,0.004610429890732476,0.009589041095890417,0.0065320504845216565,0.004087461692140769
