bin_lo,bin_hi,mean_pred,empirical_rate,count
-0.001,0.1,0.01508858877224306,0.04892966360856269,1308
0.1,0.2,0.14807662240615704,0.0975609756097561,123
0.2,0.3,0.24763977451849792,0.13559322033898305,59
0.3,0.4,0.3485550679590391,0.2391304347826087,46
0.4,0.5,0.45283359900499004,0.2564102564102564,39
0.5,0.6,0.5565870726430738,0.3783783783783784,37
0.6,0.7,0.6436011115709941,0.4666666666666667,30
0.7,0.8,0.7551409985337939,0.5,28
0.8,0.9,0.8597286904559416,0.39215686274509803,51
0.9,1.0,0.9671542844464702,0.8064516129032258,155
