video,n,accuracy,precision,recall,f1,n_pos,n_neg
video_0045,8,0.0,0.0,0.0,0.0,8,0
video_0257,1,0.0,0.0,0.0,0.0,1,0
video_0298,19,0.21052631578947367,1.0,0.21052631578947367,0.34782608695652173,19,0
video_0299,9,0.2222222222222222,0.0,0.0,0.0,0,9
video_0251,18,0.2222222222222222,0.0,0.0,0.0,13,5
video_0209,3,0.3333333333333333,0.0,0.0,0.0,0,3
video_0208,31,0.3548387096774194,0.0,0.0,0.0,0,31
video_0135,8,0.375,0.0,0.0,0.0,0,8
video_0025,26,0.5,0.0,0.0,0.0,0,26
video_0138,41,0.5365853658536586,1.0,0.5365853658536586,0.6984126984126984,41,0
video_0219,13,0.5384615384615384,1.0,0.5384615384615384,0.7,13,0
video_0016,47,0.574468085106383,0.0,0.0,0.0,0,47
video_0007,15,0.6,0.0,0.0,0.0,0,15
video_0319,5,0.6,0.0,0.0,0.0,0,5
video_0124,22,0.7272727272727273,1.0,0.7142857142857143,0.8333333333333334,21,1
video_0047,18,0.7777777777777778,0.0,0.0,0.0,0,18
video_0238,50,0.78,0.0,0.0,0.0,0,50
video_0098,19,0.7894736842105263,0.0,0.0,0.0,0,19
video_0192,5,0.8,0.0,0.0,0.0,0,5
video_0095,15,0.8,0.0,0.0,0.0,0,15
video_0316,11,0.8181818181818182,0.0,0.0,0.0,0,11
video_0177,50,0.84,1.0,0.1111111111111111,0.2,9,41
video_0131,54,0.8518518518518519,1.0,0.6363636363636364,0.7777777777777778,22,32
video_0152,98,0.8673469387755102,0.0,0.0,0.0,13,85
video_0190,42,0.8809523809523809,1.0,0.6153846153846154,0.7619047619047619,13,29
video_0265,9,0.8888888888888888,0.0,0.0,0.0,0,9
video_0302,9,0.8888888888888888,1.0,0.8888888888888888,0.9411764705882353,9,0
video_0309,9,0.8888888888888888,0.0,0.0,0.0,0,9
video_0094,10,0.9,1.0,0.9,0.9473684210526315,10,0
video_0110,28,0.9285714285714286,0.0,0.0,0.0,0,28
video_0252,15,0.9333333333333333,0.0,0.0,0.0,0,15
video_0132,31,0.9354838709677419,0.9166666666666666,0.9166666666666666,0.9166666666666666,12,19
video_0175,16,0.9375,0.0,0.0,0.0,0,16
video_0258,17,0.9411764705882353,0.0,0.0,0.0,0,17
video_0087,29,0.9655172413793104,0.0,0.0,0.0,0,29
video_0153,35,0.9714285714285714,0.0,0.0,0.0,0,35
video_0031,41,0.975609756097561,0.0,0.0,0.0,0,41
video_0006,43,0.9767441860465116,0.0,0.0,0.0,0,43
video_0109,50,0.98,0.0,0.0,0.0,0,50
video_0102,50,1.0,0.0,0.0,0.0,0,50
video_0144,3,1.0,0.0,0.0,0.0,0,3
video_0128,8,1.0,0.0,0.0,0.0,0,8
video_0125,1,1.0,0.0,0.0,0.0,0,1
video_0164,25,1.0,0.0,0.0,0.0,0,25
video_0159,10,1.0,0.0,0.0,0.0,0,10
video_0160,21,1.0,0.0,0.0,0.0,0,21
video_0150,7,1.0,0.0,0.0,0.0,0,7
video_0146,8,1.0,0.0,0.0,0.0,0,8
video_0186,13,1.0,0.0,0.0,0.0,0,13
video_0184,14,1.0,0.0,0.0,0.0,0,14
video_0183,37,1.0,0.0,0.0,0.0,0,37
video_0176,16,1.0,0.0,0.0,0.0,0,16
video_0108,20,1.0,0.0,0.0,0.0,0,20
video_0105,39,1.0,0.0,0.0,0.0,0,39
video_0113,1,1.0,1.0,1.0,1.0,1,0
video_0120,9,1.0,0.0,0.0,0.0,0,9
video_0099,5,1.0,0.0,0.0,0.0,0,5
video_0168,1,1.0,0.0,0.0,0.0,0,1
video_0170,12,1.0,0.0,0.0,0.0,0,12
video_0054,71,1.0,0.0,0.0,0.0,0,71
video_0010,16,1.0,0.0,0.0,0.0,0,16
video_0052,41,1.0,0.0,0.0,0.0,0,41
video_0080,32,1.0,0.0,0.0,0.0,0,32
video_0039,5,1.0,0.0,0.0,0.0,0,5
video_0229,5,1.0,0.0,0.0,0.0,0,5
video_0225,28,1.0,0.0,0.0,0.0,0,28
video_0223,17,1.0,0.0,0.0,0.0,0,17
video_0221,11,1.0,0.0,0.0,0.0,0,11
video_0218,9,1.0,0.0,0.0,0.0,0,9
video_0216,18,1.0,0.0,0.0,0.0,0,18
video_0211,10,1.0,0.0,0.0,0.0,0,10
video_0210,1,1.0,0.0,0.0,0.0,0,1
video_0191,43,1.0,0.0,0.0,0.0,0,43
video_0201,20,1.0,0.0,0.0,0.0,0,20
video_0193,3,1.0,0.0,0.0,0.0,0,3
video_0169,2,1.0,0.0,0.0,0.0,0,2
video_0249,26,1.0,0.0,0.0,0.0,0,26
video_0248,19,1.0,0.0,0.0,0.0,0,19
video_0233,24,1.0,0.0,0.0,0.0,0,24
video_0230,6,1.0,0.0,0.0,0.0,0,6
video_0264,11,1.0,0.0,0.0,0.0,0,11
video_0260,12,1.0,0.0,0.0,0.0,0,12
video_0253,16,1.0,0.0,0.0,0.0,0,16
video_0245,6,1.0,1.0,1.0,1.0,6,0
video_0246,1,1.0,0.0,0.0,0.0,0,1
video_0247,6,1.0,0.0,0.0,0.0,0,6
video_0297,7,1.0,1.0,1.0,1.0,7,0
video_0279,8,1.0,0.0,0.0,0.0,0,8
video_0306,3,1.0,0.0,0.0,0.0,0,3
video_0301,14,1.0,1.0,1.0,1.0,14,0
video_0286,8,1.0,0.0,0.0,0.0,0,8
video_0310,12,1.0,0.0,0.0,0.0,0,12
video_0321,18,1.0,1.0,1.0,1.0,15,3
video_0322,25,1.0,0.0,0.0,0.0,0,25
video_0324,17,1.0,1.0,1.0,1.0,17,0
video_0327,7,1.0,0.0,0.0,0.0,0,7
video_0338,28,1.0,1.0,1.0,1.0,28,0
